dataset_id	object_label	sample_label	tissue_site	review_class	top_marker_program	marker_group	gene_symbol	present	cell_count	pct_expr	mean_log_norm
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	endothelial	PECAM1	TRUE	59	0.983050847457627	1.50600186880603
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	endothelial	VWF	TRUE	59	0.11864406779661	0.238342928767007
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	epithelial_tumor	EPCAM	TRUE	59	0.0847457627118644	0.0898419787969816
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	epithelial_tumor	KRT18	TRUE	59	0.220338983050847	0.272656382118878
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	epithelial_tumor	KRT19	TRUE	59	0.338983050847458	0.414123005188288
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	epithelial_tumor	KRT8	TRUE	59	0.288135593220339	0.36807748553218
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	fibroblast_ecm	COL1A1	TRUE	59	0.0169491525423729	0.0085637552013967
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	fibroblast_ecm	COL1A2	TRUE	59	0.0338983050847458	0.0392266399686253
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	fibroblast_ecm	COL3A1	TRUE	59	0.0169491525423729	0.00729292775007881
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	fibroblast_ecm	DCN	TRUE	59	0	0
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	fibroblast_ecm	LUM	TRUE	59	0	0
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	fibroblast_ecm	PRELP	TRUE	59	0	0
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	immune_context	CD3D	TRUE	59	0.186440677966102	0.33591437521431
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	immune_context	LYZ	TRUE	59	0.288135593220339	0.280814219110419
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	immune_context	PTPRC	TRUE	59	0.152542372881356	0.182139459681643
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	inflammatory_caf	C3	TRUE	59	0	0
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	inflammatory_caf	CFD	TRUE	59	0.0338983050847458	0.0298727204420572
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	inflammatory_caf	CXCL12	TRUE	59	0.0677966101694915	0.100315459937102
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	inflammatory_caf	CXCL14	TRUE	59	0	0
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	inflammatory_caf	IL6	TRUE	59	0.0508474576271186	0.0776350602490953
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	inflammatory_caf	SFRP1	TRUE	59	0	0
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	pericyte_like	CSPG4	TRUE	59	0	0
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	pericyte_like	MCAM	TRUE	59	0.0338983050847458	0.0459830175186641
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	pericyte_like	PDGFRB	TRUE	59	0	0
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	pericyte_like	RGS5	TRUE	59	0.0338983050847458	0.0316509560696869
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_review	epithelial_tumor	caf_activation	ACTA2	TRUE	6708	0.0163983303518187	0.0143623284535452
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_review	epithelial_tumor	caf_activation	FAP	TRUE	6708	0.0128205128205128	0.00728052990218013
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_review	epithelial_tumor	caf_activation	MMP11	TRUE	6708	0.0199761478831246	0.0112837056555086
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_review	epithelial_tumor	caf_activation	MMP2	TRUE	6708	0.011329755515802	0.00796193174213444
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_review	epithelial_tumor	caf_activation	POSTN	TRUE	6708	0.00283243887895051	0.00223605465275757
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		epithelial_review	epithelial_tumor	caf_activation	THBS2	TRUE	6708	0.0035778175313059	0.002188817131095
