gene_id	gene_symbol	feature_type	seurat_feature_name	detected_cells_merged_raw	formal_merged_gene_filter_pass
ENSG00000244040	IL12A-AS1	Gene Expression	IL12A-AS1	101	TRUE
ENSG00000168811	IL12A	Gene Expression	IL12A	1374	TRUE
ENSG00000242107	LINC01100	Gene Expression	LINC01100	0	FALSE
ENSG00000180044	C3orf80	Gene Expression	C3orf80	1180	TRUE
ENSG00000248710	AC079594.2	Gene Expression	AC079594.2	31	TRUE
ENSG00000068885	IFT80	Gene Expression	IFT80	16238	TRUE
ENSG00000113810	SMC4	Gene Expression	SMC4	52523	TRUE
ENSG00000213186	TRIM59	Gene Expression	TRIM59	10094	TRUE
ENSG00000186432	KPNA4	Gene Expression	KPNA4	55803	TRUE
ENSG00000179674	ARL14	Gene Expression	ARL14	26287	TRUE
ENSG00000260572	AC069224.1	Gene Expression	AC069224.1	2748	TRUE
ENSG00000163590	PPM1L	Gene Expression	PPM1L	11080	TRUE
ENSG00000169255	B3GALNT1	Gene Expression	B3GALNT1	2595	TRUE
ENSG00000169251	NMD3	Gene Expression	NMD3	27300	TRUE
ENSG00000196542	SPTSSB	Gene Expression	SPTSSB	448	TRUE
ENSG00000240567	LINC02067	Gene Expression	LINC02067	54	TRUE
ENSG00000269888	AC112491.1	Gene Expression	AC112491.1	9	TRUE
ENSG00000182447	OTOL1	Gene Expression	OTOL1	1	FALSE
ENSG00000240354	AC131211.1	Gene Expression	AC131211.1	0	FALSE
ENSG00000241168	AC128685.1	Gene Expression	AC128685.1	0	FALSE
ENSG00000241369	LINC01192	Gene Expression	LINC01192	0	FALSE
ENSG00000240792	AC079910.1	Gene Expression	AC079910.1	1	FALSE
ENSG00000241636	LINC01323	Gene Expression	LINC01323	0	FALSE
ENSG00000241767	LINC01324	Gene Expression	LINC01324	1	FALSE
ENSG00000090402	SI	Gene Expression	SI	21430	TRUE
ENSG00000239205	LINC02023	Gene Expression	LINC02023	13311	TRUE
ENSG00000121871	SLITRK3	Gene Expression	SLITRK3	83	TRUE
ENSG00000244128	LINC01322	Gene Expression	LINC01322	3	TRUE
ENSG00000114200	BCHE	Gene Expression	BCHE	933	TRUE
ENSG00000244321	LINC01326	Gene Expression	LINC01326	11	TRUE
ENSG00000240033	AC069439.2	Gene Expression	AC069439.2	2	FALSE
ENSG00000169064	ZBBX	Gene Expression	ZBBX	17	TRUE
ENSG00000241669	LINC01327	Gene Expression	LINC01327	0	FALSE
ENSG00000114204	SERPINI2	Gene Expression	SERPINI2	58	TRUE
ENSG00000174776	WDR49	Gene Expression	WDR49	289	TRUE
ENSG00000114209	PDCD10	Gene Expression	PDCD10	57789	TRUE
ENSG00000163536	SERPINI1	Gene Expression	SERPINI1	5325	TRUE
ENSG00000244706	AC026353.1	Gene Expression	AC026353.1	1	FALSE
ENSG00000173905	GOLIM4	Gene Expression	GOLIM4	79593	TRUE
ENSG00000241882	AC124893.1	Gene Expression	AC124893.1	0	FALSE
ENSG00000242268	LINC02082	Gene Expression	LINC02082	14	TRUE
ENSG00000272797	AC092954.1	Gene Expression	AC092954.1	14	TRUE
ENSG00000273177	AC092954.2	Gene Expression	AC092954.2	3	TRUE
ENSG00000241383	LINC01997	Gene Expression	LINC01997	0	FALSE
ENSG00000085276	MECOM	Gene Expression	MECOM	54122	TRUE
ENSG00000241479	AC074033.1	Gene Expression	AC074033.1	11	TRUE
ENSG00000270141	TERC	Gene Expression	TERC	360	TRUE
ENSG00000184378	ACTRT3	Gene Expression	ACTRT3	686	TRUE
ENSG00000269889	AC078802.1	Gene Expression	AC078802.1	439	TRUE
ENSG00000085274	MYNN	Gene Expression	MYNN	17538	TRUE
ENSG00000269984	AC078795.1	Gene Expression	AC078795.1	212	TRUE
ENSG00000171757	LRRC34	Gene Expression	LRRC34	1825	TRUE
ENSG00000270135	AC078795.3	Gene Expression	AC078795.3	396	TRUE
ENSG00000270096	AC078795.2	Gene Expression	AC078795.2	656	TRUE
ENSG00000188306	LRRIQ4	Gene Expression	LRRIQ4	299	TRUE
ENSG00000114248	LRRC31	Gene Expression	LRRC31	8465	TRUE
ENSG00000187033	SAMD7	Gene Expression	SAMD7	41	TRUE
ENSG00000239219	AC008040.1	Gene Expression	AC008040.1	171	TRUE
ENSG00000008952	SEC62	Gene Expression	SEC62	90810	TRUE
ENSG00000240373	SEC62-AS1	Gene Expression	SEC62-AS1	58	TRUE
ENSG00000173890	GPR160	Gene Expression	GPR160	48783	TRUE
ENSG00000173889	PHC3	Gene Expression	PHC3	46270	TRUE
ENSG00000268220	AC008040.5	Gene Expression	AC008040.5	5999	TRUE
ENSG00000163558	PRKCI	Gene Expression	PRKCI	37733	TRUE
ENSG00000239628	AC073288.1	Gene Expression	AC073288.1	6	TRUE
ENSG00000136603	SKIL	Gene Expression	SKIL	54412	TRUE
ENSG00000242578	AC073288.2	Gene Expression	AC073288.2	3	TRUE
ENSG00000013297	CLDN11	Gene Expression	CLDN11	2444	TRUE
ENSG00000285218	AC026316.5	Gene Expression	AC026316.5	6	TRUE
ENSG00000013293	SLC7A14	Gene Expression	SLC7A14	59	TRUE
ENSG00000239739	AC026316.2	Gene Expression	AC026316.2	2	FALSE
ENSG00000163584	RPL22L1	Gene Expression	RPL22L1	82071	TRUE
