cluster	compartment	signature_score	mean_normalized_expression	mean_detection_fraction	marker_genes	signature_rank
17	Myeloid	-0.309334068474142	0.0271389571503187	0.0334386519220642	CD14;CD68	4
17	T/I/NK	-0.422479477308346	0.0455691162277804	0.0422152009829735	CD3D;CD3E;TRAC;TRBC1	5
17	Epithelial	-0.888689505014289	0.14542081424196	0.139985957521503	EPCAM;CD24	6
18	T/I/NK	1.71473629552265	1.24272114964788	0.535267699894329	CD3D;CD3E;TRAC;TRBC1	1
18	Myeloid	-0.145757788204296	0.0887154396380712	0.0451743571680169	CD14;CD68	2
18	Fibroblast	-0.148722164218626	0.0600906260771463	0.0317013032758013	COL1A2;COL3A1;MYH11;ACTA2	3
18	B	-0.242759089307362	0.0447375568416544	0.0242691088411413	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	4
18	Endothelial	-0.302378122991617	0.052280776235127	0.028355054596689	VWF;PECAM1	5
18	Epithelial	-0.82849749475213	0.190813271938149	0.107872490313491	EPCAM;CD24	6
19	Fibroblast	2.88226804930805	1.88473227080068	0.5593	COL1A2;COL3A1;MYH11;ACTA2	1
19	Myeloid	-0.0213815630739485	0.12610479334183	0.1094	CD14;CD68	2
19	B	-0.286079259614954	0.0251790967687594	0.01872	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	3
19	Endothelial	-0.337734082185581	0.0320739704514661	0.0253	VWF;PECAM1	4
19	T/I/NK	-0.344249142731923	0.0976167361799771	0.0679	CD3D;CD3E;TRAC;TRBC1	5
19	Epithelial	-0.809253025616559	0.198816664102551	0.1423	EPCAM;CD24	6
20	Epithelial	0.745964897390129	1.43816975525476	0.77619893428064	EPCAM;CD24	1
20	Fibroblast	-0.228469694036922	0.0125458516469049	0.016041296625222	COL1A2;COL3A1;MYH11;ACTA2	2
20	Myeloid	-0.31162487933611	0.0256307401542047	0.0351909413854352	CD14;CD68	3
20	B	-0.320495849042386	0.00833360563162119	0.0088809946714032	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	4
20	Endothelial	-0.381889700656606	0.00759423570834823	0.00988010657193606	VWF;PECAM1	5
20	T/I/NK	-0.479603142683321	0.0126593206691521	0.011933836589698	CD3D;CD3E;TRAC;TRBC1	6
21	Epithelial	-0.0548322080690942	0.773508590553861	0.78008778008778	EPCAM;CD24	1
21	Fibroblast	-0.23829429928483	0.00690795567117417	0.0145530145530146	COL1A2;COL3A1;MYH11;ACTA2	2
21	B	-0.32708998483818	0.00562721293352811	0.0103488103488103	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	3
21	Myeloid	-0.366860406434683	0.00673466857653673	0.0148995148995149	CD14;CD68	4
21	Endothelial	-0.388526225160031	0.00389009043370123	0.00796950796950797	VWF;PECAM1	5
21	T/I/NK	-0.489536367782984	0.00714815892534772	0.0121275121275121	CD3D;CD3E;TRAC;TRBC1	6
22	Endothelial	3.05008634362999	1.90709921112206	0.845857418111753	VWF;PECAM1	1
22	Fibroblast	-0.190198072274496	0.034180869136667	0.0319725433526012	COL1A2;COL3A1;MYH11;ACTA2	2
22	B	-0.270008235924026	0.0309292048100189	0.0295761078998073	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	3
22	Myeloid	-0.283270896556039	0.0366670817844621	0.0384152215799615	CD14;CD68	4
22	T/I/NK	-0.449653212984838	0.030103774812528	0.0231815992292871	CD3D;CD3E;TRAC;TRBC1	5
22	Epithelial	-0.93245875757649	0.112637142132993	0.0979046242774566	EPCAM;CD24	6
23	Fibroblast	3.5975887419443	2.16207980287288	0.712529738302934	COL1A2;COL3A1;MYH11;ACTA2	1
23	B	-0.277522421727755	0.0308342501626634	0.0200370076658736	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	2
23	Myeloid	-0.297786352474994	0.0314585019610042	0.0288131112873381	CD14;CD68	3
23	Endothelial	-0.303435972635222	0.0509939159160262	0.0366111551678562	VWF;PECAM1	4
23	T/I/NK	-0.458892918414686	0.0247237075375968	0.0195611948189268	CD3D;CD3E;TRAC;TRBC1	5
23	Epithelial	-0.92813587256154	0.114212738916407	0.0877610362146445	EPCAM;CD24	6
24	Myeloid	3.53016267446328	1.41771399794865	0.6949378330373	CD14;CD68	1
24	Endothelial	-0.0377492323824671	0.20122917655668	0.154381290704559	VWF;PECAM1	2
24	Fibroblast	-0.19361904247574	0.0337129813291417	0.0293072824156306	COL1A2;COL3A1;MYH11;ACTA2	3
24	B	-0.27625612599401	0.0293627317355274	0.0213143872113677	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	4
24	T/I/NK	-0.435536028658378	0.0376694064553659	0.0284931912374186	CD3D;CD3E;TRAC;TRBC1	5
24	Epithelial	-0.920619749278958	0.120740600886807	0.0914742451154529	EPCAM;CD24	6
25	B	2.81070215234131	1.51608396481294	0.674556213017752	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	1
25	Fibroblast	-0.18328241431404	0.036477113169476	0.0348022422921208	COL1A2;COL3A1;MYH11;ACTA2	2
25	T/I/NK	-0.277471035363836	0.149659364147962	0.12176891933977	CD3D;CD3E;TRAC;TRBC1	3
25	Myeloid	-0.336707096995976	0.0158819483808339	0.0155714730613516	CD14;CD68	4
25	Endothelial	-0.368453577518713	0.0151143713781365	0.0130800373715353	VWF;PECAM1	5
25	Epithelial	-0.609108204921615	0.339635058653621	0.261133603238866	EPCAM;CD24	6
26	Epithelial	0.894153651035496	1.50846343935988	0.772710139464757	EPCAM;CD24	1
26	Myeloid	-0.217454062926986	0.0585623277339668	0.0599321522804373	CD14;CD68	2
26	Fibroblast	-0.218228221197741	0.0190083939239646	0.0171503957783641	COL1A2;COL3A1;MYH11;ACTA2	3
26	B	-0.308903153043802	0.0147366945420878	0.0108556351300415	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	4
26	Endothelial	-0.349419640845859	0.025427904073277	0.0137580098002262	VWF;PECAM1	5
26	T/I/NK	-0.479991421499588	0.0124727331863429	0.00951752732755371	CD3D;CD3E;TRAC;TRBC1	6
27	Endothelial	2.15132625049166	1.40954509939556	0.653179190751445	VWF;PECAM1	1
27	Fibroblast	-0.166906039824117	0.0480311049314762	0.0309489402697495	COL1A2;COL3A1;MYH11;ACTA2	2
27	B	-0.264066707627155	0.0368772745988456	0.0198458574181118	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	3
27	Myeloid	-0.278664834356267	0.0392010257547938	0.0269749518304432	CD14;CD68	4
27	T/I/NK	-0.411553839244567	0.0513537512098726	0.0298651252408478	CD3D;CD3E;TRAC;TRBC1	5
27	Epithelial	-0.827050618181746	0.191417875411245	0.117774566473988	EPCAM;CD24	6
28	Epithelial	0.919016077314985	1.5284345662869	0.735279922779923	EPCAM;CD24	1
28	Myeloid	0.0690815573857742	0.185782047310285	0.120897683397683	CD14;CD68	2
28	Fibroblast	-0.226482597326924	0.0136821944072885	0.0106177606177606	COL1A2;COL3A1;MYH11;ACTA2	3
28	B	-0.306569285714535	0.0146992576296271	0.0082046332046332	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	4
28	Endothelial	-0.379316570356346	0.00897792300665765	0.00627413127413127	VWF;PECAM1	5
28	T/I/NK	-0.470776247696459	0.0175083894686244	0.0106177606177606	CD3D;CD3E;TRAC;TRBC1	6
29	T/I/NK	2.12347706387631	1.49447073744321	0.690262430939226	CD3D;CD3E;TRAC;TRBC1	1
29	Fibroblast	-0.182173613565527	0.0408360340753599	0.0326312154696133	COL1A2;COL3A1;MYH11;ACTA2	2
29	B	-0.19545659715309	0.0642340932873819	0.0524861878453039	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	3
29	Endothelial	-0.279397790173558	0.0652202035415129	0.0521408839779006	VWF;PECAM1	4
29	Myeloid	-0.328808743370226	0.0194727823741061	0.0172651933701657	CD14;CD68	5
29	Epithelial	-0.816523987898384	0.20031409429957	0.136740331491713	EPCAM;CD24	6
30	Endothelial	1.17891999931894	0.869889174563871	0.476534296028881	VWF;PECAM1	1
30	Fibroblast	-0.190300010201715	0.0359846612607762	0.0219614921780987	COL1A2;COL3A1;MYH11;ACTA2	2
30	Myeloid	-0.294588998221977	0.0303478008334681	0.0246690734055355	CD14;CD68	3
30	B	-0.312106970418119	0.012735801408956	0.00842358604091456	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	4
30	T/I/NK	-0.473944141244647	0.0156849177784586	0.0108303249097473	CD3D;CD3E;TRAC;TRBC1	5
30	Epithelial	-0.848489256156163	0.172456232493946	0.111311672683514	EPCAM;CD24	6
31	Epithelial	0.639779988703069	1.3146091588933	0.745308310991957	EPCAM;CD24	1
31	Fibroblast	-0.219431509925401	0.018233361918823	0.0191018766756032	COL1A2;COL3A1;MYH11;ACTA2	2
31	B	-0.319524657414178	0.00942100265151912	0.00938337801608579	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	3
31	Myeloid	-0.323284240993305	0.0222930853332609	0.0315013404825737	CD14;CD68	4
31	Endothelial	-0.382678752718644	0.00716015520473865	0.00670241286863271	VWF;PECAM1	5
31	T/I/NK	-0.477386577276399	0.0144260683246701	0.0137399463806971	CD3D;CD3E;TRAC;TRBC1	6
32	T/I/NK	1.52319486615177	1.15024687070487	0.597938144329897	CD3D;CD3E;TRAC;TRBC1	1
