grouping_variable	grouping_value	qc_flag	flag_value	cell_count
sample_accession	GSM5709999	qc_flag_high_pct_hb	True	1511
sample_accession	GSM5710000	qc_flag_high_pct_hb	False	4337
sample_accession	GSM5710000	qc_flag_high_pct_hb	True	466
sample_accession	GSM5709979	qc_any_flag	False	3613
sample_accession	GSM5709979	qc_any_flag	True	1026
sample_accession	GSM5709980	qc_any_flag	False	1850
sample_accession	GSM5709980	qc_any_flag	True	696
sample_accession	GSM5709981	qc_any_flag	False	4279
sample_accession	GSM5709981	qc_any_flag	True	2310
sample_accession	GSM5709982	qc_any_flag	False	3181
sample_accession	GSM5709982	qc_any_flag	True	1049
sample_accession	GSM5709983	qc_any_flag	False	4848
sample_accession	GSM5709983	qc_any_flag	True	1572
sample_accession	GSM5709984	qc_any_flag	False	4049
sample_accession	GSM5709984	qc_any_flag	True	1644
sample_accession	GSM5709985	qc_any_flag	False	2216
sample_accession	GSM5709985	qc_any_flag	True	968
sample_accession	GSM5709986	qc_any_flag	False	676
sample_accession	GSM5709986	qc_any_flag	True	2857
sample_accession	GSM5709987	qc_any_flag	False	5453
sample_accession	GSM5709987	qc_any_flag	True	1198
sample_accession	GSM5709988	qc_any_flag	False	9354
sample_accession	GSM5709988	qc_any_flag	True	668
sample_accession	GSM5709989	qc_any_flag	False	3415
sample_accession	GSM5709989	qc_any_flag	True	1562
sample_accession	GSM5709990	qc_any_flag	False	4636
sample_accession	GSM5709990	qc_any_flag	True	1023
sample_accession	GSM5709991	qc_any_flag	False	2834
sample_accession	GSM5709991	qc_any_flag	True	2350
sample_accession	GSM5709992	qc_any_flag	False	3226
sample_accession	GSM5709992	qc_any_flag	True	713
sample_accession	GSM5709993	qc_any_flag	False	5446
sample_accession	GSM5709993	qc_any_flag	True	1982
sample_accession	GSM5709994	qc_any_flag	False	3406
sample_accession	GSM5709994	qc_any_flag	True	1070
sample_accession	GSM5709995	qc_any_flag	False	3548
sample_accession	GSM5709995	qc_any_flag	True	2407
sample_accession	GSM5709996	qc_any_flag	False	2071
sample_accession	GSM5709996	qc_any_flag	True	2857
sample_accession	GSM5709997	qc_any_flag	False	8
sample_accession	GSM5709997	qc_any_flag	True	8895
sample_accession	GSM5709998	qc_any_flag	False	191
sample_accession	GSM5709998	qc_any_flag	True	2547
sample_accession	GSM5709999	qc_any_flag	False	6530
sample_accession	GSM5709999	qc_any_flag	True	2425
sample_accession	GSM5710000	qc_any_flag	False	3688
sample_accession	GSM5710000	qc_any_flag	True	1115
sample_accession	GSM5709979	qc_pass	False	1026
sample_accession	GSM5709979	qc_pass	True	3613
sample_accession	GSM5709980	qc_pass	False	696
sample_accession	GSM5709980	qc_pass	True	1850
sample_accession	GSM5709981	qc_pass	False	2310
sample_accession	GSM5709981	qc_pass	True	4279
sample_accession	GSM5709982	qc_pass	False	1049
sample_accession	GSM5709982	qc_pass	True	3181
sample_accession	GSM5709983	qc_pass	False	1572
sample_accession	GSM5709983	qc_pass	True	4848
sample_accession	GSM5709984	qc_pass	False	1644
sample_accession	GSM5709984	qc_pass	True	4049
sample_accession	GSM5709985	qc_pass	False	968
sample_accession	GSM5709985	qc_pass	True	2216
sample_accession	GSM5709986	qc_pass	False	2857
sample_accession	GSM5709986	qc_pass	True	676
sample_accession	GSM5709987	qc_pass	False	1198
sample_accession	GSM5709987	qc_pass	True	5453
sample_accession	GSM5709988	qc_pass	False	668
sample_accession	GSM5709988	qc_pass	True	9354
sample_accession	GSM5709989	qc_pass	False	1562
sample_accession	GSM5709989	qc_pass	True	3415
sample_accession	GSM5709990	qc_pass	False	1023
sample_accession	GSM5709990	qc_pass	True	4636
sample_accession	GSM5709991	qc_pass	False	2350
sample_accession	GSM5709991	qc_pass	True	2834
sample_accession	GSM5709992	qc_pass	False	713
sample_accession	GSM5709992	qc_pass	True	3226
sample_accession	GSM5709993	qc_pass	False	1982
sample_accession	GSM5709993	qc_pass	True	5446
sample_accession	GSM5709994	qc_pass	False	1070
sample_accession	GSM5709994	qc_pass	True	3406
sample_accession	GSM5709995	qc_pass	False	2407
sample_accession	GSM5709995	qc_pass	True	3548
sample_accession	GSM5709996	qc_pass	False	2857
sample_accession	GSM5709996	qc_pass	True	2071
sample_accession	GSM5709997	qc_pass	False	8895
sample_accession	GSM5709997	qc_pass	True	8
sample_accession	GSM5709998	qc_pass	False	2547
sample_accession	GSM5709998	qc_pass	True	191
sample_accession	GSM5709999	qc_pass	False	2425
sample_accession	GSM5709999	qc_pass	True	6530
sample_accession	GSM5710000	qc_pass	False	1115
sample_accession	GSM5710000	qc_pass	True	3688
characteristics_ch1::outcome	NE	qc_flag_low_detected_genes	False	16484
characteristics_ch1::outcome	NE	qc_flag_low_detected_genes	True	1600
characteristics_ch1::outcome	PD	qc_flag_low_detected_genes	False	11347
characteristics_ch1::outcome	PD	qc_flag_low_detected_genes	True	1022
characteristics_ch1::outcome	PR	qc_flag_low_detected_genes	False	22673
characteristics_ch1::outcome	PR	qc_flag_low_detected_genes	True	1721
characteristics_ch1::outcome	SD	qc_flag_low_detected_genes	False	62853
characteristics_ch1::outcome	SD	qc_flag_low_detected_genes	True	3752
characteristics_ch1::outcome	NE	qc_flag_high_detected_genes	False	17891
characteristics_ch1::outcome	NE	qc_flag_high_detected_genes	True	193
characteristics_ch1::outcome	PD	qc_flag_high_detected_genes	False	12299
characteristics_ch1::outcome	PD	qc_flag_high_detected_genes	True	70
characteristics_ch1::outcome	PR	qc_flag_high_detected_genes	False	24157
characteristics_ch1::outcome	PR	qc_flag_high_detected_genes	True	237
characteristics_ch1::outcome	SD	qc_flag_high_detected_genes	False	65593
characteristics_ch1::outcome	SD	qc_flag_high_detected_genes	True	1012
characteristics_ch1::outcome	NE	qc_flag_high_total_counts	False	17314
characteristics_ch1::outcome	NE	qc_flag_high_total_counts	True	770
characteristics_ch1::outcome	PD	qc_flag_high_total_counts	False	11749
characteristics_ch1::outcome	PD	qc_flag_high_total_counts	True	620
characteristics_ch1::outcome	PR	qc_flag_high_total_counts	False	23343
characteristics_ch1::outcome	PR	qc_flag_high_total_counts	True	1051
characteristics_ch1::outcome	SD	qc_flag_high_total_counts	False	63071
characteristics_ch1::outcome	SD	qc_flag_high_total_counts	True	3534
characteristics_ch1::outcome	NE	qc_flag_high_pct_mt	False	16337
characteristics_ch1::outcome	NE	qc_flag_high_pct_mt	True	1747
characteristics_ch1::outcome	PD	qc_flag_high_pct_mt	False	10676
characteristics_ch1::outcome	PD	qc_flag_high_pct_mt	True	1693
characteristics_ch1::outcome	PR	qc_flag_high_pct_mt	False	22291
characteristics_ch1::outcome	PR	qc_flag_high_pct_mt	True	2103
characteristics_ch1::outcome	SD	qc_flag_high_pct_mt	False	56962
characteristics_ch1::outcome	SD	qc_flag_high_pct_mt	True	9643
characteristics_ch1::outcome	NE	qc_flag_high_pct_rp	False	18084
characteristics_ch1::outcome	NE	qc_flag_high_pct_rp	True	0
characteristics_ch1::outcome	PD	qc_flag_high_pct_rp	False	12368
characteristics_ch1::outcome	PD	qc_flag_high_pct_rp	True	1
characteristics_ch1::outcome	PR	qc_flag_high_pct_rp	False	24387
characteristics_ch1::outcome	PR	qc_flag_high_pct_rp	True	7
characteristics_ch1::outcome	SD	qc_flag_high_pct_rp	False	66589
characteristics_ch1::outcome	SD	qc_flag_high_pct_rp	True	16
characteristics_ch1::outcome	NE	qc_flag_high_pct_hb	False	13711
characteristics_ch1::outcome	NE	qc_flag_high_pct_hb	True	4373
characteristics_ch1::outcome	PD	qc_flag_high_pct_hb	False	10468
characteristics_ch1::outcome	PD	qc_flag_high_pct_hb	True	1901
characteristics_ch1::outcome	PR	qc_flag_high_pct_hb	False	21702
characteristics_ch1::outcome	PR	qc_flag_high_pct_hb	True	2692
characteristics_ch1::outcome	SD	qc_flag_high_pct_hb	False	48633
characteristics_ch1::outcome	SD	qc_flag_high_pct_hb	True	17972
characteristics_ch1::outcome	NE	qc_any_flag	False	11564
characteristics_ch1::outcome	NE	qc_any_flag	True	6520
characteristics_ch1::outcome	PD	qc_any_flag	False	8297
characteristics_ch1::outcome	PD	qc_any_flag	True	4072
characteristics_ch1::outcome	PR	qc_any_flag	False	18269
characteristics_ch1::outcome	PR	qc_any_flag	True	6125
characteristics_ch1::outcome	SD	qc_any_flag	False	40388
characteristics_ch1::outcome	SD	qc_any_flag	True	26217
characteristics_ch1::outcome	NE	qc_pass	False	6520
characteristics_ch1::outcome	NE	qc_pass	True	11564
characteristics_ch1::outcome	PD	qc_pass	False	4072
characteristics_ch1::outcome	PD	qc_pass	True	8297
characteristics_ch1::outcome	PR	qc_pass	False	6125
characteristics_ch1::outcome	PR	qc_pass	True	18269
characteristics_ch1::outcome	SD	qc_pass	False	26217
characteristics_ch1::outcome	SD	qc_pass	True	40388
working_celltype_label	B_cells	qc_flag_low_detected_genes	False	4862
working_celltype_label	B_cells	qc_flag_low_detected_genes	True	6
working_celltype_label	Mast_cells	qc_flag_low_detected_genes	False	3183
working_celltype_label	Mast_cells	qc_flag_low_detected_genes	True	13
working_celltype_label	Monocytes	qc_flag_low_detected_genes	False	58787
working_celltype_label	Monocytes	qc_flag_low_detected_genes	True	1715
working_celltype_label	Plasma_cells	qc_flag_low_detected_genes	False	32351
working_celltype_label	Plasma_cells	qc_flag_low_detected_genes	True	6263
working_celltype_label	T_cells	qc_flag_low_detected_genes	False	14174
working_celltype_label	T_cells	qc_flag_low_detected_genes	True	98
working_celltype_label	B_cells	qc_flag_high_detected_genes	False	4867
working_celltype_label	B_cells	qc_flag_high_detected_genes	True	1
working_celltype_label	Mast_cells	qc_flag_high_detected_genes	False	3192
working_celltype_label	Mast_cells	qc_flag_high_detected_genes	True	4
working_celltype_label	Monocytes	qc_flag_high_detected_genes	False	59222
working_celltype_label	Monocytes	qc_flag_high_detected_genes	True	1280
working_celltype_label	Plasma_cells	qc_flag_high_detected_genes	False	38414
working_celltype_label	Plasma_cells	qc_flag_high_detected_genes	True	200
working_celltype_label	T_cells	qc_flag_high_detected_genes	False	14245
working_celltype_label	T_cells	qc_flag_high_detected_genes	True	27
working_celltype_label	B_cells	qc_flag_high_total_counts	False	4860
working_celltype_label	B_cells	qc_flag_high_total_counts	True	8
working_celltype_label	Mast_cells	qc_flag_high_total_counts	False	3162
working_celltype_label	Mast_cells	qc_flag_high_total_counts	True	34
working_celltype_label	Monocytes	qc_flag_high_total_counts	False	57700
working_celltype_label	Monocytes	qc_flag_high_total_counts	True	2802
working_celltype_label	Plasma_cells	qc_flag_high_total_counts	False	35632
working_celltype_label	Plasma_cells	qc_flag_high_total_counts	True	2982
working_celltype_label	T_cells	qc_flag_high_total_counts	False	14123
working_celltype_label	T_cells	qc_flag_high_total_counts	True	149
working_celltype_label	B_cells	qc_flag_high_pct_mt	False	4859
working_celltype_label	B_cells	qc_flag_high_pct_mt	True	9
working_celltype_label	Mast_cells	qc_flag_high_pct_mt	False	3182
working_celltype_label	Mast_cells	qc_flag_high_pct_mt	True	14
working_celltype_label	Monocytes	qc_flag_high_pct_mt	False	56111
working_celltype_label	Monocytes	qc_flag_high_pct_mt	True	4391
working_celltype_label	Plasma_cells	qc_flag_high_pct_mt	False	27998
working_celltype_label	Plasma_cells	qc_flag_high_pct_mt	True	10616
working_celltype_label	T_cells	qc_flag_high_pct_mt	False	14116
