cluster	rank	gene	score_mean_log_normalized_difference	mean_expression_in_cluster	mean_expression_out_cluster	fraction_expressing_in_cluster	technical_gene_excluded	marker_method
4	31	UBE2J1	0.6732414960861206	0.9199151992797852	0.24667371809482574	0.6025110190997729	False	mean_log_normalized_expression_difference
4	32	SEC61B	0.649907112121582	1.0930860042572021	0.4431789219379425	0.6396420462134367	False	mean_log_normalized_expression_difference
4	33	SSR3	0.6479856967926025	0.8795022964477539	0.23151662945747375	0.6139975958327768	False	mean_log_normalized_expression_difference
4	34	ANKRD28	0.6384291648864746	0.7766838073730469	0.13825467228889465	0.5441431815146254	False	mean_log_normalized_expression_difference
4	35	HSPA5	0.630587637424469	1.3742846250534058	0.7436969876289368	0.712568451983438	False	mean_log_normalized_expression_difference
4	36	IGLC7	0.6222266554832458	0.6879203915596008	0.06569372862577438	0.4539869106451182	False	mean_log_normalized_expression_difference
4	37	LMAN1	0.6211711764335632	0.8146618604660034	0.19349069893360138	0.5321223453986911	False	mean_log_normalized_expression_difference
4	38	SLAMF7	0.6190454959869385	0.9153733253479004	0.2963277995586395	0.6288232937090957	False	mean_log_normalized_expression_difference
4	39	IGKV1D-39	0.6151485443115234	0.6806682348251343	0.06551966071128845	0.47696006411112596	False	mean_log_normalized_expression_difference
4	40	IGKV1-5	0.6142480373382568	0.6948080062866211	0.08055996149778366	0.5086149325497529	False	mean_log_normalized_expression_difference
4	41	TENT5C	0.6068633794784546	0.910197913646698	0.3033345639705658	0.5981033791905971	False	mean_log_normalized_expression_difference
4	42	MANF	0.5893762707710266	0.9580011963844299	0.3686249256134033	0.6022438894083078	False	mean_log_normalized_expression_difference
4	43	ITM2C	0.5874268412590027	0.7967042326927185	0.20927739143371582	0.5497529050353946	False	mean_log_normalized_expression_difference
4	44	IGLV2-14	0.5835729837417603	0.650255560874939	0.06668254733085632	0.44303459329504474	False	mean_log_normalized_expression_difference
4	45	PRDX4	0.5817980170249939	0.6990676522254944	0.11726965755224228	0.5317216508614933	False	mean_log_normalized_expression_difference
4	46	PRDM1	0.5745553970336914	0.8111245036125183	0.2365691363811493	0.5504207292640577	False	mean_log_normalized_expression_difference
4	47	SPCS2	0.5690115690231323	0.871196985244751	0.30218544602394104	0.6157339388273007	False	mean_log_normalized_expression_difference
4	48	IGKV3-15	0.5417580604553223	0.598601758480072	0.05684371665120125	0.47175103512755445	False	mean_log_normalized_expression_difference
4	49	IGHJ4	0.528444230556488	0.5575354099273682	0.02909119985997677	0.45558968879390943	False	mean_log_normalized_expression_difference
4	50	RRBP1	0.5275556445121765	0.7699153423309326	0.2423596829175949	0.5866168024575932	False	mean_log_normalized_expression_difference
5	1	MT-CO1	0.979060173034668	4.6269450187683105	3.6478848457336426	0.9566374452097683	False	mean_log_normalized_expression_difference
5	2	IGHG1	0.9489247798919678	2.2617270946502686	1.3128023147583008	0.7465560425798372	False	mean_log_normalized_expression_difference
5	3	IGKC	0.8911194801330566	3.1290206909179688	2.237901210784912	0.8960551033187226	False	mean_log_normalized_expression_difference
5	4	IGHG3	0.8769171833992004	1.7144973278045654	0.837580144405365	0.6227301189730745	False	mean_log_normalized_expression_difference
5	5	MT-ND5	0.8547687530517578	2.8813021183013916	2.026533365249634	0.8622417031934878	False	mean_log_normalized_expression_difference
5	6	MT-ND4	0.8244104385375977	4.196187973022461	3.3717775344848633	0.9470882905447714	False	mean_log_normalized_expression_difference
5	7	MS4A1	0.7915863990783691	0.9066989421844482	0.11511252820491791	0.29790231684408264	False	mean_log_normalized_expression_difference
5	8	IGHG2	0.7437273859977722	1.4373841285705566	0.6936567425727844	0.5561991233562931	False	mean_log_normalized_expression_difference
5	9	MT-ND2	0.7336580753326416	3.3296589851379395	2.596000909805298	0.9120225422667502	False	mean_log_normalized_expression_difference
5	10	MT-CO2	0.7251861095428467	4.19126558303833	3.4660794734954834	0.9483406386975579	False	mean_log_normalized_expression_difference
5	11	MT-CYB	0.7160706520080566	3.266176223754883	2.550105571746826	0.8843143393863494	False	mean_log_normalized_expression_difference
5	12	IGHG4	0.7030363082885742	1.5175845623016357	0.8145482540130615	0.6081715716969317	False	mean_log_normalized_expression_difference
5	13	MTCO1P12	0.6965271234512329	2.474592685699463	1.77806556224823	0.887132122730119	False	mean_log_normalized_expression_difference
5	14	MT-CO3	0.6794383525848389	4.038039207458496	3.3586008548736572	0.9386349405134627	False	mean_log_normalized_expression_difference
5	15	MT-ATP6	0.6786463260650635	3.431861400604248	2.7532150745391846	0.9182842830306825	False	mean_log_normalized_expression_difference
5	16	HLA-DRA	0.6544884443283081	1.713983416557312	1.059494972229004	0.54351909830933	False	mean_log_normalized_expression_difference
5	17	MTND2P28	0.6203521490097046	2.2132794857025146	1.59292733669281	0.8486224170319349	False	mean_log_normalized_expression_difference
5	18	CD74	0.6094613075256348	2.270362377166748	1.6609010696411133	0.6989668127739511	False	mean_log_normalized_expression_difference
5	19	MT-ND4L	0.6065783500671387	1.928944706916809	1.3223663568496704	0.7753600500939261	False	mean_log_normalized_expression_difference
5	20	MT-ND1	0.5844190120697021	3.3034865856170654	2.7190675735473633	0.9146837820914214	False	mean_log_normalized_expression_difference
5	21	MTATP6P1	0.5817723274230957	2.221050500869751	1.6392781734466553	0.8339073262366938	False	mean_log_normalized_expression_difference
5	22	IGHM	0.5236435532569885	1.098824381828308	0.5751808285713196	0.5408578584846587	False	mean_log_normalized_expression_difference
5	23	HLA-DQA1	0.5214319229125977	1.1768819093704224	0.6554499864578247	0.5234815278647464	False	mean_log_normalized_expression_difference
5	24	MT-ND3	0.51078200340271	2.6823034286499023	2.1715214252471924	0.8814965560425798	False	mean_log_normalized_expression_difference
5	25	CD79A	0.503044843673706	0.7010420560836792	0.19799722731113434	0.3097996242955542	False	mean_log_normalized_expression_difference
5	26	IGLC2	0.46216583251953125	1.7704824209213257	1.3083165884017944	0.7487476518472135	False	mean_log_normalized_expression_difference
5	27	HLA-DPB1	0.43974894285202026	0.9979572296142578	0.5582082867622375	0.4007514088916719	False	mean_log_normalized_expression_difference
5	28	HLA-DRB1	0.42641007900238037	1.1872886419296265	0.7608785629272461	0.46180338134001253	False	mean_log_normalized_expression_difference
5	29	RPL13A	0.41832947731018066	2.457139492034912	2.0388100147247314	0.7817783343769568	False	mean_log_normalized_expression_difference
5	30	EZR	0.41364675760269165	1.2215168476104736	0.807870090007782	0.5320914214151534	False	mean_log_normalized_expression_difference
5	31	HLA-DRB3	0.4033028483390808	0.9889887571334839	0.5856859087944031	0.4142141515341265	False	mean_log_normalized_expression_difference
5	32	HLA-DPA1	0.40116649866104126	0.9561042189598083	0.5549377202987671	0.39965560425798374	False	mean_log_normalized_expression_difference
5	33	BANK1	0.3985578119754791	0.4548676908016205	0.05630989000201225	0.21540388227927365	False	mean_log_normalized_expression_difference
5	34	RPL13	0.3933873176574707	2.5290727615356445	2.135685443878174	0.7830306825297433	False	mean_log_normalized_expression_difference
5	35	RPS18	0.3584275245666504	2.396993637084961	2.0385661125183105	0.7695679398872887	False	mean_log_normalized_expression_difference
5	36	IGLC3	0.3559473752975464	1.3236358165740967	0.9676884412765503	0.6329054477144647	False	mean_log_normalized_expression_difference
5	37	HLA-DQB1	0.3502056300640106	0.7296990752220154	0.37949344515800476	0.3360989355040701	False	mean_log_normalized_expression_difference
5	38	IGHA1	0.34167420864105225	1.938151240348816	1.5964770317077637	0.7762993112085159	False	mean_log_normalized_expression_difference
5	39	RPLP2	0.31906187534332275	1.9791830778121948	1.660121202468872	0.7229179711959924	False	mean_log_normalized_expression_difference
5	40	RPS8	0.3039144277572632	1.9759997129440308	1.6720852851867676	0.7163431433938635	False	mean_log_normalized_expression_difference
5	41	HNRNPH1	0.30333125591278076	1.1044539213180542	0.8011226654052734	0.5252035065748278	False	mean_log_normalized_expression_difference
5	42	RPS23	0.3017284870147705	1.8740602731704712	1.5723317861557007	0.6692235441452724	False	mean_log_normalized_expression_difference
5	43	EEF1A1	0.3009319305419922	3.3982231616973877	3.0972912311553955	0.8741390106449592	False	mean_log_normalized_expression_difference
5	44	RPS19	0.2998572587966919	2.066767692565918	1.766910433769226	0.7354414527238572	False	mean_log_normalized_expression_difference
5	45	RPS11	0.29795074462890625	2.2207565307617188	1.9228057861328125	0.756105197244834	False	mean_log_normalized_expression_difference
5	46	RPLP1	0.297076940536499	2.7411277294158936	2.4440507888793945	0.8144959298685035	False	mean_log_normalized_expression_difference
5	47	PTMA	0.29477882385253906	2.303462505340576	2.008683681488037	0.7836568566061365	False	mean_log_normalized_expression_difference
5	48	IGHA2	0.2928680181503296	1.6828585863113403	1.3899905681610107	0.7481214777708203	False	mean_log_normalized_expression_difference
5	49	RPL10	0.28841614723205566	2.341637372970581	2.0532212257385254	0.7595491546649968	False	mean_log_normalized_expression_difference
5	50	RPS2	0.28779470920562744	2.1231651306152344	1.835370421409607	0.725735754539762	False	mean_log_normalized_expression_difference
6	1	AGR2	1.9637305736541748	2.047673225402832	0.08394266664981842	0.6523845007451565	False	mean_log_normalized_expression_difference
6	2	KRT8	1.6912065744400024	1.8247112035751343	0.13350465893745422	0.7453427719821163	False	mean_log_normalized_expression_difference
6	3	KRT18	1.586476445198059	1.6934925317764282	0.10701605677604675	0.7181445603576752	False	mean_log_normalized_expression_difference
6	4	KRT19	1.5821757316589355	1.7257938385009766	0.14361806213855743	0.6702682563338301	False	mean_log_normalized_expression_difference
6	5	MT-CO1	1.4704909324645996	5.09749698638916	3.6270060539245605	0.9858420268256334	False	mean_log_normalized_expression_difference
6	6	S100A6	1.45095956325531	2.6366724967956543	1.1857129335403442	0.857488822652757	False	mean_log_normalized_expression_difference
6	7	SPINK1	1.442673921585083	1.5227669477462769	0.08009306341409683	0.5842026825633383	False	mean_log_normalized_expression_difference
6	8	GSTP1	1.3599963188171387	1.8972426652908325	0.5372463464736938	0.7254098360655737	False	mean_log_normalized_expression_difference
6	9	MT-CO3	1.3523907661437988	4.6738104820251465	3.3214197158813477	0.9763412816691506	False	mean_log_normalized_expression_difference
