dataset_id	cluster	working_cluster_field	rank	names	scores	mean_expression_in_cluster	mean_expression_out_cluster	fraction_expressing_in_cluster	marker_method
GSE189926	23	leiden_0.5	15	EEF1A1	1.4328091144561768	4.288186550140381	2.855377435684204	0.9993917274939172	mean_log_normalized_expression_difference
GSE189926	23	leiden_0.5	16	RPLP1	1.385810375213623	3.624999761581421	2.239189386367798	0.995742092457421	mean_log_normalized_expression_difference
GSE189926	23	leiden_0.5	17	PTPRC	1.37496018409729	2.5733377933502197	1.1983776092529297	0.9653284671532847	mean_log_normalized_expression_difference
GSE189926	23	leiden_0.5	18	SAT1	1.3653595447540283	3.6203153133392334	2.254955768585205	0.9987834549878345	mean_log_normalized_expression_difference
GSE189926	23	leiden_0.5	19	LITAF	1.353581428527832	2.548828363418579	1.195246934890747	0.9641119221411192	mean_log_normalized_expression_difference
GSE189926	23	leiden_0.5	20	FTH1	1.3430471420288086	4.625389099121094	3.282341957092285	1.0	mean_log_normalized_expression_difference
GSE189926	24	leiden_0.5	1	RGS1	3.4976859092712402	4.528147220611572	1.0304611921310425	0.9906015037593985	mean_log_normalized_expression_difference
GSE189926	24	leiden_0.5	2	KRT13	3.0044708251953125	3.1764893531799316	0.17201852798461914	1.0	mean_log_normalized_expression_difference
GSE189926	24	leiden_0.5	3	FABP5	2.5923473834991455	2.995821952819824	0.4034745991230011	0.9990601503759399	mean_log_normalized_expression_difference
GSE189926	24	leiden_0.5	4	COTL1	2.46492600440979	3.5988943576812744	1.1339683532714844	0.9520676691729323	mean_log_normalized_expression_difference
GSE189926	24	leiden_0.5	5	KRT4	2.2964632511138916	2.4245166778564453	0.1280534267425537	0.9981203007518797	mean_log_normalized_expression_difference
GSE189926	24	leiden_0.5	6	GAPDH	2.2828683853149414	3.9179880619049072	1.6351197957992554	0.9971804511278195	mean_log_normalized_expression_difference
GSE189926	24	leiden_0.5	7	CCL5	2.105623722076416	2.790557384490967	0.6849336624145508	0.9652255639097744	mean_log_normalized_expression_difference
GSE189926	24	leiden_0.5	8	RPS3	2.093445301055908	3.824366331100464	1.7309211492538452	1.0	mean_log_normalized_expression_difference
GSE189926	24	leiden_0.5	9	KRT5	2.027120590209961	2.1501710414886475	0.1230505034327507	0.9953007518796992	mean_log_normalized_expression_difference
GSE189926	24	leiden_0.5	10	TMSB4X	1.9722673892974854	5.089121341705322	3.116853952407837	0.9990601503759399	mean_log_normalized_expression_difference
GSE189926	24	leiden_0.5	11	S100A8	1.8903944492340088	3.057650566101074	1.1672561168670654	1.0	mean_log_normalized_expression_difference
GSE189926	24	leiden_0.5	12	CD74	1.849231481552124	3.4455761909484863	1.5963447093963623	0.9736842105263158	mean_log_normalized_expression_difference
GSE189926	24	leiden_0.5	13	PTMA	1.7674524784088135	3.5777747631073	1.8103222846984863	0.9971804511278195	mean_log_normalized_expression_difference
GSE189926	24	leiden_0.5	14	HLA-A	1.762206792831421	4.1542277336120605	2.3920209407806396	1.0	mean_log_normalized_expression_difference
