dataset_id	object_label	sample_label	tissue_site	marker_program	n	q1	median	mean	q3
GSE245552	gse245552_Pt06_T1_working_qc_sparse_matrix	Pt06_T1	primary tumor	epithelial_tumor	733	0	1.7415266218705	1.53042990192043	2.89654800067473
GSE245552	gse245552_Pt06_T1_working_qc_sparse_matrix	Pt06_T1	primary tumor	immune_context	733	0	0.501583942691566	0.631646173403061	0.962061980996585
GSE245552	gse245552_Pt06_T2_working_qc_sparse_matrix	Pt06_T2	liver metastasis	fibroblast_ecm	1304	0	0	0.458554982184253	0
GSE245552	gse245552_Pt06_T2_working_qc_sparse_matrix	Pt06_T2	liver metastasis	caf_activation	1304	0	0	0.284071705675768	0.101796158064397
GSE245552	gse245552_Pt06_T2_working_qc_sparse_matrix	Pt06_T2	liver metastasis	inflammatory_caf	1304	0	0	0.198489635446642	0.345307158334333
GSE245552	gse245552_Pt06_T2_working_qc_sparse_matrix	Pt06_T2	liver metastasis	pericyte_like	1304	0	0	0.227552625273564	0
GSE245552	gse245552_Pt06_T2_working_qc_sparse_matrix	Pt06_T2	liver metastasis	endothelial	1304	0	0	0.194249607956803	0.35458902311378
GSE245552	gse245552_Pt06_T2_working_qc_sparse_matrix	Pt06_T2	liver metastasis	epithelial_tumor	1304	0	0	0.296452569717411	0.0672364209097569
GSE245552	gse245552_Pt06_T2_working_qc_sparse_matrix	Pt06_T2	liver metastasis	immune_context	1304	0.590725857211454	1.27961555764212	1.09934241652885	1.60906277110796
GSE245552	gse245552_Pt06_T3_working_qc_sparse_matrix	Pt06_T3	liver metastasis	fibroblast_ecm	6534	0	0	0.357071339774202	0
GSE245552	gse245552_Pt06_T3_working_qc_sparse_matrix	Pt06_T3	liver metastasis	caf_activation	6534	0	0	0.222786325366981	0
GSE245552	gse245552_Pt06_T3_working_qc_sparse_matrix	Pt06_T3	liver metastasis	inflammatory_caf	6534	0	0.0850974285898519	0.199398094297147	0.355639548311121
GSE245552	gse245552_Pt06_T3_working_qc_sparse_matrix	Pt06_T3	liver metastasis	pericyte_like	6534	0	0	0.128531523168629	0
GSE245552	gse245552_Pt06_T3_working_qc_sparse_matrix	Pt06_T3	liver metastasis	endothelial	6534	0	0	0.156758184350525	0.297440941254846
GSE245552	gse245552_Pt06_T3_working_qc_sparse_matrix	Pt06_T3	liver metastasis	epithelial_tumor	6534	0	0	0.548585392272806	0.538528864787532
GSE245552	gse245552_Pt06_T3_working_qc_sparse_matrix	Pt06_T3	liver metastasis	immune_context	6534	0.557039841920951	1.00350406313086	0.965161408234433	1.43671587097127
GSE245552	gse245552_Pt07_T1_working_qc_sparse_matrix	Pt07_T1	primary tumor	fibroblast_ecm	3784	0	0	0.126901464034306	0
GSE245552	gse245552_Pt07_T1_working_qc_sparse_matrix	Pt07_T1	primary tumor	caf_activation	3784	0	0	0.0772873332006059	0
