dataset_id	group_field	group_value	metric	n	min	q1	median	mean	q3	max	gsm	tissue_site	sample_title
GSE245552	sample_label	Pt10_T2	percent.mt	8503	0	0	0	0	0	0	GSM7844834	liver metastasis	Pt10_T2, scRNAseq
GSE245552	sample_label	Pt11_T1	nCount_RNA	7175	189	1537	3512	10813.8812543554	16951	112491	GSM7844835	primary tumor	Pt11_T1, scRNAseq
GSE245552	sample_label	Pt11_T1	nFeature_RNA	7175	168	872	1522	2276.23916376307	3009	9308	GSM7844835	primary tumor	Pt11_T1, scRNAseq
GSE245552	sample_label	Pt11_T1	percent.mt	7175	0	0	0	0	0	0	GSM7844835	primary tumor	Pt11_T1, scRNAseq
GSE245552	sample_label	Pt11_T2	nCount_RNA	5356	189	1802.75	2581.5	5178.60362210605	5193.5	91455	GSM7844836	liver metastasis	Pt11_T2, scRNAseq
GSE245552	sample_label	Pt11_T2	nFeature_RNA	5356	156	1011	1334	1740.49365197909	2119.25	8911	GSM7844836	liver metastasis	Pt11_T2, scRNAseq
GSE245552	sample_label	Pt11_T2	percent.mt	5356	0	0	0	0	0	0	GSM7844836	liver metastasis	Pt11_T2, scRNAseq
GSE245552	sample_label	Pt13_T1	nCount_RNA	4471	238	1135.5	2581	7349.01476179826	5594	102337	GSM7844837	primary tumor	Pt13_T1, scRNAseq
GSE245552	sample_label	Pt13_T1	nFeature_RNA	4471	140	682	1313	1475.69246253635	2025.5	7122	GSM7844837	primary tumor	Pt13_T1, scRNAseq
GSE245552	sample_label	Pt13_T1	percent.mt	4471	0	0	0	0	0	0	GSM7844837	primary tumor	Pt13_T1, scRNAseq
GSE245552	sample_label	Pt13_Z1	nCount_RNA	8136	261	1086	2021.5	5489.62708947886	6595.5	52901	GSM7844838	colon adjacent tissue	Pt13_Z1, scRNAseq
GSE245552	sample_label	Pt13_Z1	nFeature_RNA	8136	125	461	758.5	1047.75307276303	1466	5952	GSM7844838	colon adjacent tissue	Pt13_Z1, scRNAseq
GSE245552	sample_label	Pt13_Z1	percent.mt	8136	0	0	0	9.38339802476524	16.0415618591672	49.9847421422032	GSM7844838	colon adjacent tissue	Pt13_Z1, scRNAseq
