cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene
0	1.48987594856536e-147	1.59178117685319	0.337	0.081	3.6743320643519e-143	OLFML2B
0	2.55600523265938e-147	1.24336610918574	0.586	0.215	6.30362010478457e-143	DNASE2
0	1.44028178831263e-146	1.98858309828338	0.251	0.047	3.55202294633661e-142	OTOA
1	0	1.47599446954781	0.894	0.474	0	DDIT4
1	0	1.38714895773496	0.945	0.544	0	CXCR4
1	1.28390955512559e-269	0.786741442424612	0.969	0.766	3.16637774485074e-265	TSC22D3
1	1.69999533686852e-242	1.20760646359586	0.853	0.494	4.19252849978513e-238	CLEC4E
1	2.10686830319519e-232	0.871235367571177	0.914	0.685	5.19595860933999e-228	ZFP36L2
1	2.15094550948355e-219	0.492122311009888	0.981	0.9	5.30466181548833e-215	ZFP36
1	1.55226365829222e-210	0.819529847263523	0.896	0.714	3.82819263408026e-206	ZFAND5
1	2.49990513211793e-210	1.77676321014402	0.608	0.246	6.16526603682924e-206	CDC42EP2
1	1.26063064686686e-205	1.31300720965191	0.75	0.436	3.10896730130305e-201	CYTIP
1	1.7867314980507e-204	0.820077194747744	0.904	0.673	4.40643722049263e-200	PLIN2
1	3.51676088638338e-199	0.385657784420749	0.997	0.947	8.67303569799869e-195	DUSP1
1	1.34972143323513e-191	0.817594257528838	0.893	0.643	3.32868299864447e-187	CD52
1	1.11179230758462e-190	0.52545471096025	0.967	0.841	2.74190218896519e-186	LSP1
1	8.48458842166983e-188	0.97855555920607	0.839	0.554	2.09246919655221e-183	NR4A1
1	1.49587853104176e-185	1.19961697285278	0.766	0.445	3.68913563325519e-181	RNF144B
1	1.07265102771942e-182	0.486007704562605	0.992	0.883	2.64537196456164e-178	FOS
1	3.01821274827765e-175	0.705424011831644	0.888	0.709	7.44351627980233e-171	FGL2
1	4.33769114873029e-171	1.10381585610078	0.765	0.457	1.06976139109986e-166	LGALS2
1	1.24699116611365e-163	0.342969439521703	0.993	0.96	3.0753296138695e-159	RPL7
1	2.56903276920773e-162	0.684544534748374	0.887	0.718	6.33574861542011e-158	C10orf54
1	3.53481837124791e-159	0.661802356270274	0.986	0.707	8.7175690671716e-155	FCN1
1	3.12049146428695e-158	0.708412579934782	0.866	0.69	7.69575604922447e-154	CD48
1	2.10526553377327e-156	0.356083117787042	0.994	0.945	5.19200585939165e-152	COTL1
1	2.69054669973295e-155	0.588234220775108	0.93	0.782	6.63542627088141e-151	C5AR1
1	9.79070990480815e-152	0.284515336494947	1	0.986	2.41458487672379e-147	RPS4X
1	3.06355034525309e-151	0.5441270376075	0.965	0.829	7.55532786146317e-147	NAMPT
1	1.89768462494514e-147	0.850107088166327	0.82	0.606	4.68006982203972e-143	SMAP2
1	4.41986829684718e-142	0.311421390733227	0.994	0.964	1.09002791936845e-137	CTSS
1	1.46132941831916e-141	0.460369881613882	0.936	0.845	3.60393061145871e-137	CEBPD
1	1.6264124133566e-141	0.386905122332144	0.987	0.926	4.01105829382006e-137	BTG1
1	1.69376242672188e-140	0.486583573016718	0.953	0.846	4.17715689678151e-136	CEBPB
1	2.6002936132037e-139	0.728945281499953	0.818	0.647	6.41284410888296e-135	HERPUD1
1	5.79440020962993e-139	0.334535440563698	1	0.956	1.42901497969893e-134	LYZ
1	1.28326291676301e-137	0.493453606055748	0.947	0.845	3.16478300532093e-133	TKT
1	1.57858251407568e-137	0.35268413886263	0.928	0.887	3.89310019621344e-133	HNRNPA1
1	6.10313434026941e-136	1.13694734075813	0.694	0.439	1.50515499099724e-131	PER1
1	3.40556409233956e-135	0.655602501336075	0.853	0.709	8.39880216452783e-131	AP1S2
1	4.26209490463821e-135	0.275897002796714	0.997	0.979	1.05111784538187e-130	GABARAP
1	1.32243597142194e-134	0.275271977062117	1	0.993	3.26139159272078e-130	SAT1
1	3.17035373587048e-134	0.457394429100847	0.942	0.852	7.81872638340377e-130	CD37
1	4.65951741332218e-134	0.335729570931909	0.972	0.933	1.14913018447352e-129	SLC25A6
1	5.90816249843255e-133	0.283027993932612	0.978	0.952	1.45707103536344e-128	RPL10A
1	8.07233578923148e-133	0.913347070159552	0.785	0.534	1.99079945234027e-128	NLRP3
1	2.16932401979306e-130	0.812157993546058	0.795	0.58	5.34998689761363e-126	LIMD2
1	1.4359760146962e-129	0.87242850608884	0.76	0.555	3.54140404744378e-125	RAB20
1	3.96888422279564e-128	1.80592340051814	0.422	0.156	9.78806227025861e-124	XIST
1	6.6004844689647e-128	0.381995524477659	0.939	0.876	1.62781147973607e-123	JUNB
1	5.05775475808274e-124	0.252701668032216	0.999	0.987	1.24734347843837e-119	RPS10
1	1.81578970340385e-123	0.864797933482045	0.783	0.505	4.47810056653458e-119	G0S2
1	3.41346812541745e-123	0.255092241259445	0.999	0.988	8.41829509090452e-119	RPS3A
2	0	1.83073323189708	0.82	0.256	0	APOBEC3A
2	6.70607592260225e-291	1.63622813938105	0.819	0.317	1.65385244403217e-286	PHLDA1
2	2.83262505826746e-253	1.20420009363392	0.924	0.483	6.98581991869921e-249	CREM
2	2.80905667422318e-239	1.55264945233395	0.77	0.338	6.92769556996921e-235	MARCKSL1
2	1.33790575678719e-237	2.09684473307414	0.568	0.167	3.29954317738858e-233	SEMA6B
2	1.64207194914356e-231	2.69257648526538	0.371	0.064	4.04967784097784e-227	LAMB3
2	4.33207263652313e-218	1.25977913065267	0.842	0.435	1.06837575361933e-213	PNP
2	4.67118612898781e-202	0.949705518780064	0.942	0.593	1.15200792313097e-197	PPIF
