annotation	N	fraction
Exon (ENST00000523184.5/137682, exon 3 of 6)	3	9.35774665460557e-05
Exon (ENST00000474777.1/7052, exon 6 of 6)	3	9.35774665460557e-05
Intron (ENST00000582441.1/201229, intron 3 of 4)	3	9.35774665460557e-05
Intron (ENST00000696810.1/9837, intron 1 of 5)	3	9.35774665460557e-05
Intron (ENST00000673912.1/400954, intron 24 of 42)	3	9.35774665460557e-05
Exon (ENST00000506862.1/101928176, exon 4 of 4)	3	9.35774665460557e-05
Exon (ENST00000644188.1/378805, exon 3 of 7)	3	9.35774665460557e-05
Intron (ENST00000647105.1/101927421, intron 3 of 6)	3	9.35774665460557e-05
Intron (ENST00000355327.7/79875, intron 6 of 17)	3	9.35774665460557e-05
Intron (ENST00000310758.9/9844, intron 15 of 21)	3	9.35774665460557e-05
Intron (ENST00000453507.7/11343, intron 3 of 6)	3	9.35774665460557e-05
Exon (ENST00000647473.1/ENST00000647473.1, exon 5 of 5)	3	9.35774665460557e-05
Intron (ENST00000689404.1/101060091, intron 1 of 3)	3	9.35774665460557e-05
Intron (ENST00000367033.4/5362, intron 3 of 31)	3	9.35774665460557e-05
Intron (ENST00000355854.8/81617, intron 8 of 8)	3	9.35774665460557e-05
Intron (ENST00000493223.1/54498, intron 1 of 1)	3	9.35774665460557e-05
Intron (ENST00000500636.2/ENST00000500636.2, intron 3 of 4)	3	9.35774665460557e-05
Intron (ENST00000679438.1/3437, intron 1 of 3)	3	9.35774665460557e-05
Intron (ENST00000413366.8/5578, intron 3 of 16)	3	9.35774665460557e-05
Exon (ENST00000586506.1/ENST00000586506.1, exon 1 of 2)	3	9.35774665460557e-05
Intron (ENST00000651999.1/105375746, intron 4 of 7)	3	9.35774665460557e-05
Intron (ENST00000371711.4/9334, intron 1 of 8)	3	9.35774665460557e-05
Exon (ENST00000491561.3/ENST00000491561.3, exon 1 of 1)	3	9.35774665460557e-05
Exon (ENST00000680600.1/ENST00000680600.1, exon 1 of 2)	3	9.35774665460557e-05
Exon (ENST00000255006.12/54453, exon 9 of 13)	3	9.35774665460557e-05
Intron (ENST00000396009.7/4773, intron 5 of 9)	3	9.35774665460557e-05
Intron (ENST00000664475.1/ENST00000664475.1, intron 1 of 1)	3	9.35774665460557e-05
Intron (ENST00000592772.1/5493, intron 1 of 9)	3	9.35774665460557e-05
Intron (ENST00000320152.11/56952, intron 3 of 8)	3	9.35774665460557e-05
Intron (ENST00000624697.4/9636, intron 1 of 2)	3	9.35774665460557e-05
Intron (ENST00000392452.3/151963, intron 1 of 1)	3	9.35774665460557e-05
Exon (ENST00000623345.1/ENST00000623345.1, exon 1 of 1)	3	9.35774665460557e-05
Exon (ENST00000469141.6/9967, exon 11 of 13)	3	9.35774665460557e-05
Intron (ENST00000230895.11/1611, intron 2 of 3)	3	9.35774665460557e-05
Intron (ENST00000675876.1/6942, intron 1 of 1)	3	9.35774665460557e-05
Intron (ENST00000259750.9/84630, intron 13 of 14)	3	9.35774665460557e-05
Exon (ENST00000402938.4/2570, exon 2 of 9)	3	9.35774665460557e-05
Intron (ENST00000610642.4/6533, intron 5 of 10)	3	9.35774665460557e-05
Exon (ENST00000456403.1/147093, exon 3 of 3)	3	9.35774665460557e-05
Intron (ENST00000268154.9/374655, intron 1 of 4)	3	9.35774665460557e-05
Intron (ENST00000622330.5/3570, intron 1 of 6)	3	9.35774665460557e-05
Intron (ENST00000520220.6/4067, intron 10 of 12)	3	9.35774665460557e-05
Intron (ENST00000639839.1/149086, intron 4 of 4)	3	9.35774665460557e-05
Intron (ENST00000549278.2/728084, intron 1 of 6)	3	9.35774665460557e-05
Intron (ENST00000264433.11/57600, intron 1 of 16)	3	9.35774665460557e-05
Intron (ENST00000368026.11/50848, intron 1 of 9)	3	9.35774665460557e-05
Intron (ENST00000655671.1/ENST00000655671.1, intron 1 of 6)	3	9.35774665460557e-05
Intron (ENST00000290573.7/3099, intron 1 of 17)	3	9.35774665460557e-05
Intron (ENST00000705257.1/100506047, intron 2 of 2)	3	9.35774665460557e-05
Intron (ENST00000557398.2/400451, intron 1 of 3)	3	9.35774665460557e-05
Intron (ENST00000370664.4/80019, intron 1 of 2)	3	9.35774665460557e-05
Intron (ENST00000616785.1/643650, intron 3 of 3)	3	9.35774665460557e-05
Intron (ENST00000432360.2/105372988, intron 1 of 2)	3	9.35774665460557e-05
Intron (ENST00000485254.3/26052, intron 17 of 20)	3	9.35774665460557e-05
Intron (ENST00000256458.5/3656, intron 2 of 12)	3	9.35774665460557e-05
Intron (ENST00000644878.1/53405, intron 1 of 5)	3	9.35774665460557e-05
Intron (ENST00000375400.7/6840, intron 2 of 35)	3	9.35774665460557e-05
Intron (ENST00000369519.4/282996, intron 1 of 13)	3	9.35774665460557e-05
Intron (ENST00000425441.5/151903, intron 3 of 8)	3	9.35774665460557e-05
Exon (ENST00000668112.1/105376380, exon 4 of 4)	3	9.35774665460557e-05
Exon (ENST00000661851.1/ENST00000661851.1, exon 1 of 4)	3	9.35774665460557e-05
Exon (ENST00000623793.1/ENST00000623793.1, exon 1 of 1)	3	9.35774665460557e-05
Exon (ENST00000660900.2/ENST00000660900.2, exon 1 of 1)	3	9.35774665460557e-05
Intron (ENST00000700882.1/124909412, intron 1 of 1)	3	9.35774665460557e-05
Intron (ENST00000611428.5/4267, intron 1 of 10)	3	9.35774665460557e-05
Exon (ENST00000570843.1/ENST00000570843.1, exon 1 of 1)	3	9.35774665460557e-05
Exon (ENST00000577161.5/57521, exon 18 of 22)	3	9.35774665460557e-05
Exon (ENST00000454149.2/ENST00000454149.2, exon 2 of 2)	3	9.35774665460557e-05
Intron (ENST00000376259.7/7133, intron 1 of 9)	3	9.35774665460557e-05
