gene	cluster	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out	resolution	positive_direction	passes_primary_filter	rank
FTH1	1	5.38916702599506	1.79288212385849	634288081	0.805083002215626	0	0	99.3424380374304	94.5271134977792	1.0	TRUE	TRUE	5
NAMPTP1	1	2.60499459313928	1.60956993370837	632936789	0.803367847457373	0	0	89.903894790086	53.0099621088555	1.0	TRUE	TRUE	6
CXCL8	1	5.04146858781384	2.87500889991706	626675855.5	0.795421030719298	0	0	96.0040465351543	66.1852902060174	1.0	TRUE	TRUE	7
G0S2	1	3.3414311245066	2.1948719219202	623647556.5	0.791577300837628	0	0	87.3039959534648	42.3176331836089	1.0	TRUE	TRUE	8
FCGR3B	1	2.68914107864073	1.98196934408915	617928272.5	0.784317983705286	0	0	77.0662620131513	29.6052796667587	1.0	TRUE	TRUE	9
S100A8	1	3.22526970303111	2.03424647654562	617772461	0.784120216801008	0	0	87.1927162367223	44.0955057589521	1.0	TRUE	TRUE	10
CCL5	2	3.00899094127585	2.39136756127053	588578112.5	0.890734397717286	0	0	92.1454993834772	47.5655706518404	1.0	TRUE	TRUE	1
NKG7	2	2.03019153962405	1.83837972685807	557763733.5	0.844100948839934	0	0	76.5474722564735	14.1193220172564	1.0	TRUE	TRUE	2
TRBC2	2	2.05861812808961	1.59909260645459	534759823	0.809287601334832	0	0	80.1972872996301	26.6934226837022	1.0	TRUE	TRUE	3
RPS27	2	3.26493813715689	1.43524972134041	532665921.5	0.80611876095176	0	0	98.3723797780518	76.0840482590179	1.0	TRUE	TRUE	4
IL32	2	2.05193171956907	1.51379959566653	532066876.5	0.805212186317148	0	0	82.1824907521578	33.7334462486346	1.0	TRUE	TRUE	5
PTMA	2	3.40303149860321	1.47786909813106	527542036.5	0.798364445046159	0	0	98.150431565968	73.7066902315991	1.0	TRUE	TRUE	6
GZMA	2	1.53456936682938	1.38409184429762	526295183	0.796477498729642	0	0	66.7694204685574	11.038698037483	1.0	TRUE	TRUE	7
GZMB	2	1.60186873079979	1.49040443149569	525047027.5	0.794588582009944	0	0	64.5499383477189	9.26273672324705	1.0	TRUE	TRUE	8
TMSB4X	2	4.7259345517659	1.24363305615768	519855646	0.786732119162418	0	0	99.4451294697904	93.9786688267855	1.0	TRUE	TRUE	9
RPL23A	2	2.87634478638809	1.34881003663741	517499248	0.783166025370046	0	0	95.672009864365	66.0296770867852	1.0	TRUE	TRUE	10
S100A9	3	5.07897185700031	3.37846948179435	557861357.5	0.890834004539177	0	0	99.057838262235	55.2565745316981	1.0	TRUE	TRUE	1
S100A8	3	4.03831564334509	2.86743375835679	554566665.5	0.885572798275964	0	0	97.8147081915729	44.2845811214839	1.0	TRUE	TRUE	2
IFITM2	3	4.36544545070897	2.54851566715788	552801400	0.882753892622619	0	0	99.2279507982204	73.4077735066203	1.0	TRUE	TRUE	3
HCAR2	3	3.99786745144328	2.99532492831189	546646931.5	0.872925985122026	0	0	93.5749803716305	37.9901153212521	1.0	TRUE	TRUE	4
NAMPT	3	3.92026025799169	2.39025846658557	544714736	0.869840513379492	0	0	98.835383407485	63.0264201598633	1.0	TRUE	TRUE	5
HCAR3	3	3.84807535180606	2.93623853257579	541222207	0.864263386458599	0	0	91.8607694320858	35.2321679175057	1.0	TRUE	TRUE	6
NAMPTP1	3	2.91723765160253	1.90687487625812	539561024	0.861610687388719	0	0	97.3305417429992	53.3272316797852	1.0	TRUE	TRUE	7
CSF3R	3	3.0443815395857	2.19336549752951	533351007.5	0.851694076760335	0	0	94.5956555875425	37.2725608639941	1.0	TRUE	TRUE	8
G0S2	3	3.87633221981167	2.71957857521483	532691594	0.850641076833104	0	0	93.9675477623659	42.9275733723839	1.0	TRUE	TRUE	9
FCGR3B	3	3.08171296558089	2.35690107142475	529122028	0.844940931570315	0	0	88.5893745092908	29.8297638660077	1.0	TRUE	TRUE	10
CCL3L1	4	2.79037223757205	2.54992595625898	527810680	0.891710773695123	0	0	85.048030071001	17.9615067229746	1.0	TRUE	TRUE	1
CCL3L3	4	1.9940349589892	1.85301989514712	519274330.5	0.877289021529787	0	0	81.0942503132396	12.4642007669531	1.0	TRUE	TRUE	2
CXCL8	4	5.78625374924635	3.59044497352608	513573326	0.867657448456021	0	0	96.5056383126827	67.1193145963788	1.0	TRUE	TRUE	3
SOD2	4	3.96923285008456	2.28582645528663	488790271.5	0.825787669120136	0	0	94.7097313100376	66.4263870685889	1.0	TRUE	TRUE	4
AC131056.2	4	1.20397612875796	1.12653782388946	484230597	0.818084318221301	0	0	68.7038841709592	8.88913159555361	1.0	TRUE	TRUE	5
FTH1	4	5.4593806397051	1.81042811085883	479215117.5	0.809610906684048	0	0	99.2621467353474	94.692005242464	1.0	TRUE	TRUE	6
